"annee","jours_glissants","code_station","VCNx_annuel_spe"
"2019",10,"E381126501",1.28467697404749
"2020",10,"E381126501",1.72305356156819
"2021",10,"E381126501",3.16902263942573
"2022",10,"E381126501",1.33348978464936
"2023",10,"E381126501",0.66882937603534
"2024",10,"E381126501",0.93904534020492
"2005",10,"E341210001",2.06137366099559
"2006",10,"E341210001",2.63371140516698
"2007",10,"E341210001",4.14858223062382
"2008",10,"E341210001",4.89218651543793
"2009",10,"E341210001",2.35393824826717
"2010",10,"E341210001",0.601344255408528
"2011",10,"E341210001",3.72463768115942
"2012",10,"E341210001",1.89287964713296
"2016",10,"E341210001",3.29363579080025
"2017",10,"E341210001",0.771644612476371
"2018",10,"E341210001",2.46282293635791
"2019",10,"E341210001",2.09262759924386
"2020",10,"E341210001",2.98424700693132
"2021",10,"E341210001",4.27095148078135
"2022",10,"E341210001",0.488342785129175
"2023",10,"E341210001",0.892669607225373
"2024",10,"E341210001",4.74725897920605
"2005",10,"E182701002",1.11978021978022
"2006",10,"E182701002",1.35054945054945
"2007",10,"E182701002",1.61868131868132
"2008",10,"E182701002",1.35164835164835
"2009",10,"E182701002",1.23516483516483
"2010",10,"E182701002",1.99230769230769
"2011",10,"E182701002",1.58791208791209
"2012",10,"E182701002",1.52857142857143
"2013",10,"E182701002",1.44065934065934
"2014",10,"E182701002",2.38571428571429
"2015",10,"E182701002",1.44615384615385
"2016",10,"E182701002",2.38351648351648
"2017",10,"E182701002",1.06043956043956
"2018",10,"E182701002",1.0043956043956
"2019",10,"E182701002",0.948351648351649
"2020",10,"E182701002",1.05054945054945
"2021",10,"E182701002",2.56593406593407
"2022",10,"E182701002",1.28571428571429
"2023",10,"E182701002",1.62307692307692
"2024",10,"E182701002",3.77362637362637
"2007",10,"D015656001",1.841796875
"2008",10,"D015656001",1.439453125
"2009",10,"D015656001",0.59765625
"2010",10,"D015656001",1.40546875
"2011",10,"D015656001",1.860546875
"2012",10,"D015656001",2.039453125
"2013",10,"D015656001",1.76875
